Status,Menu Item Name,Menu Item Route,All Routes,Menu Item Product,All Products,Page URL,AR Roles,GL Roles,AP Roles,In AR,In GL,In AP
GAP,Review Payers,tenant/list,tenant/list,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/tenant/list,,GL Manager,,No,Yes,No
GAP,Review Payments,payments,payments,glmanagernet,glmanagernet,,,GL Manager,,No,Yes,No
GAP,Review Receipt Display type,receipts/reviewdisplaytype,receipts/reviewdisplaytype,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/receipts/reviewdisplaytype,AR Manager; AR Manager - Payments; AR Manager - Payments Admin,,,Yes,No,No
GAP,Review Receipts,receipts,receipts,glmanagernet,glmanagernet,,,GL Manager,,No,Yes,No
GAP,Review Rule,armanager/depositinterestrulelist,armanager/depositinterestrulelist,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/armanager/depositinterestrulelist,AR Manager; AR Manager - Payments Admin,,,Yes,No,No
GAP,RPO Workflow Auto-Attach,app.workflow.autoattach({objectType:'rpo'}),app.workflow.autoattach({objectType:'rpo'}) | workflow/autoattach?objecttype=rpo,ProcuretoPayNet,ProcuretoPayNet,/procuretopaynet/content/#/app/workflow/autoattach?objectType=rpo,,,AP Manager; AP Manager (New),No,No,Yes
GAP,Search PO,app.po.search,app.po.search | po/search,ProcuretoPayNet,ProcuretoPayNet,/procuretopaynet/content/#/app/po/search,,,AP Manager; AP Manager (New),No,No,Yes
GAP,Search RPO,app.rpo.search,app.rpo.search | rpo/search,ProcuretoPayNet,ProcuretoPayNet,/procuretopaynet/content/#/app/rpo/search,,,AP Manager; AP Manager (New),No,No,Yes
GAP,Segment Setup,segments,segments,glmanagernet,glmanagernet,,,GL Manager,,No,Yes,No
GAP,Set Up Interest,armanager/interestsetup,armanager/interestsetup,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/armanager/interestsetup,AR Manager; AR Manager - Payments; AR Manager - Payments Admin,,,Yes,No,No
GAP,Tenant Based Subsidy Charge Code,affordable/tenantbasedsubsidycharge,affordable/tenantbasedsubsidycharge,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/affordable/tenantbasedsubsidycharge,AR Manager - Payments Admin,,,Yes,No,No
GAP,Unexclude Late Fee,armanager/unexcludecommcombinedlatefee,armanager/unexcludecommcombinedlatefee,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/armanager/unexcludecommcombinedlatefee,AR Manager; AR Manager - Payments; AR Manager - Payments Admin,,,Yes,No,No
GAP,Update 1099 checkbox on Payable Invoice,i1099/updatepayables,i1099/updatepayables,glmanagernet,glmanagernet,,,GL Manager 1099,,No,Yes,No
GAP,Update Failed Pull Batches,app.billpay.unsentbatches,app.billpay.unsentbatches | billpay/unsentbatches,ProcuretoPayNet,ProcuretoPayNet,/procuretopaynet/content/#/app/billpay/unsentbatches,,,AP Manager; AP Manager (New); AP Manager (New) (without PO); AP Manager (without PO),No,No,Yes
GAP,Update Receipt Post Month,tools/updatereceiptspostmonth,tools/updatereceiptspostmonth,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/tools/updatereceiptspostmonth,AR Manager - Payments Admin,,,Yes,No,No
GAP,VAT Return Field Sets,vatreturnfieldset,vatreturnfieldset,glmanagernet,glmanagernet,/glmanagernet/content2/vatreturnfieldset,,GL Manager,,No,Yes,No
GAP,VAT Return Mapping,vatreturnmapping,vatreturnmapping,glmanagernet,glmanagernet,,,GL Manager,,No,Yes,No
GAP,VendorCafe,app.vendorcafe,app.vendorcafe,ProcuretoPayNet,ProcuretoPayNet,/procuretopaynet/content/#/app/vendorcafe,,,AP Manager; AP Manager (New); AP Manager (New) (without PO); AP Manager (without PO),No,No,Yes
GAP,WIPS Auto Generate,tools/wipsautogenerate,tools/wipsautogenerate,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/tools/wipsautogenerate,AR Manager - Payments Admin,,,Yes,No,No
GAP,WIPS Configuration,setup/wipsadministration,setup/wipsadministration,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/setup/wipsadministration,AR Manager - Payments Admin,,,Yes,No,No
GAP,Workflow Auto Attach (Payable),app.workflow.autoattach({objectType:'payable'}),app.workflow.autoattach({objectType:'payable'}) | workflow/autoattach?objecttype=payable,ProcuretoPayNet,ProcuretoPayNet,/procuretopaynet/content/#/app/workflow/autoattach?objectType=payable,,,AP Manager; AP Manager (New); AP Manager (New) (without PO); AP Manager (without PO),No,No,Yes
