Status,Menu Item Name,Menu Item Route,All Routes,Menu Item Product,All Products,Page URL,AR Roles,GL Roles,AP Roles,In AR,In GL,In AP
GAP,Payment Method Validation,app.billpay.setupvalidation,app.billpay.setupvalidation | billpay/paymentmethodsetup,ProcuretoPayNet,ProcuretoPayNet,/procuretopaynet/content/#/app/billpay/setupvalidation,,,AP Manager; AP Manager (New); AP Manager (New) (without PO); AP Manager (without PO),No,No,Yes
GAP,Payment Portal,tools/toportal,tools/toportal,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/tools/toportal,AR Manager - Payments Admin,,,Yes,No,No
GAP,Payment Processing Property Setup,setup/cmpipropertysetup,setup/cmpipropertysetup,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/setup/cmpipropertysetup,AR Manager - Payments Admin,,,Yes,No,No
GAP,PO Accrual,poaccrual,poaccrual,glmanagernet,glmanagernet,/glmanagernet/content2/poaccrual,,,AP Manager; AP Manager (New),No,No,Yes
GAP,PO Workflow Auto-Attach,app.workflow.autoattach({objectType:'po'}),app.workflow.autoattach({objectType:'po'}) | workflow/autoattach?objecttype=po,ProcuretoPayNet,ProcuretoPayNet,/procuretopaynet/content/#/app/workflow/autoattach?objectType=po,,,AP Manager; AP Manager (New),No,No,Yes
GAP,Post ACA Batches,aca/postacabatches,aca/postacabatches,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/aca/postacabatches,AR Manager - ACA Admin,,,Yes,No,No
GAP,Post CHECKscan Batches,setup/postcheckscanbatches,setup/postcheckscanbatches,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/setup/postcheckscanbatches,AR Manager - Payments Admin,,,Yes,No,No
GAP,Post Chicago Late Fee,armanager/chicagolatefee,armanager/chicagolatefee,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/armanager/chicagolatefee,AR Manager; AR Manager - Payments; AR Manager - Payments Admin,,,Yes,No,No
GAP,Post Credit Card Batches,setup/postcreditcardbatches,setup/postcreditcardbatches,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/setup/postcreditcardbatches,AR Manager - Payments Admin,,,Yes,No,No
GAP,Post EFT Batches,setup/posteftbatches,setup/posteftbatches,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/setup/posteftbatches,AR Manager - Payments Admin,,,Yes,No,No
GAP,Post Flex Receipts,tools/postflexbatches,tools/postflexbatches,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/tools/postflexbatches,AR Manager - Payments Admin,,,Yes,No,No
GAP,Post GL Allocation,glallocatepost,glallocatepost,glmanagernet,glmanagernet,,,GL Manager,,No,Yes,No
GAP,Post RPO,app.rpo.post,app.rpo.post | rpo/post,ProcuretoPayNet,ProcuretoPayNet,/procuretopaynet/content/#/app/rpo/post,,,AP Manager; AP Manager (New),No,No,Yes
GAP,Post WIPS Batches,tools/postwipsbatches,tools/postwipsbatches,ARManagera13NET,ARManagera13NET,/armanagera13net/content2/tools/postwipsbatches,AR Manager - Payments Admin,,,Yes,No,No
